"HH_ID"	"Member_Age_Orig"	"Member_ID"	"Member_Gender_Orig"	"HEIGHT"	"WEIGHT"	"Mod_act"	"Vig_act"
657	15	6401	2	5.8	125	10	2
657	10	7127	1	5	110	10	5
657	50	7743	1	6.1	205	5	3
660	46	2104	1	6.2	235	10	2
660	48	3884	2	5.7	180	10	0
660	19	4657	2	5.7	140	10	0
660	16	4750	1	6.2	180	14	0
665	82	2105	2	5.4	116	6	 
667	67	5432	2	5.4	128	1	 
675	65	5433	1	5.9	220	100	 
675	62	6402	2	5.2	180	100	100
683	46	5434	1	6.1	260	40	10
683	44	6403	2	5.1	300	21	0
683	24	7128	1	6.1	220	0	3
683	22	7452	2	5.6	190	4	5
683	20	7647	2	5.1	180	4	5
683	17	7721	2	5.9	200	4	1
683	8	7738	2	4.8	65	20	2
683	6	7742	1	4.6	48	20	2
686	46	2106	1	 	 	 	 
686	48	3885	2	 	 	 	 
686	16	4658	1	 	 	 	 
686	16	4751	1	 	 	 	 
691	42	2107	1	6	198	2	2
691	43	3886	2	5.7	 	3	2
691	14	4659	1	5.4	150	2	2
691	12	4752	1	5.1	120	2	2
694	28	2108	2	5.3	130	2	6
694	9	3887	2	4	55	2	 
704	47	1572	1	5.11	188	5	0
704	47	3458	2	5.6	160	50	0
704	16	4433	1	5.6	155	5	0
707	53	5435	2	5.3	140	10	 
707	 	7744	1	6.2	210	7	7
712	39	1573	1	5.11	220	20	10
712	8	2257	2	 	 	 	 
712	39	3459	2	5.4	140	20	10
712	11	4434	1	 	 	 	 
712	6	4874	1	 	 	 	 
715	44	5436	2	5.2	117	50	3
715	67	6404	1	5.9	175	25	0
719	48	5437	1	6	195	40	15
719	14	6405	1	 	 	 	 
719	10	7129	1	 	 	 	 
719	45	7791	2	 	 	 	 
727	35	2110	1	6	170	10	0
727	31	3888	2	5.8	145	7	0
727	2	4660	2	2.1	30	7	0
769	55	5440	1	6.9	225	8	3
769	47	6406	2	6	170	8	3
769	20	7130	2	5.9	145	5	3
771	37	5441	2	6.2	250	3	2
771	33	6407	2	5.1	160	5	1
771	2	7131	2	 	 	 	 
788	44	2111	1	6.4	200	10	1
788	47	3889	2	5.1	168	38	3
788	15	4661	2	5.1	160	33	0
788	13	4753	2	5.6	130	33	0
795	64	2112	1	6	200	15	20
795	54	3890	2	5.9	175	25	10
795	19	4662	2	6	180	20	35
804	52	5443	1	6	210	8	4
804	 	7767	 	5	160	8	4
813	47	2113	2	5.5	185	35	 
813	51	3891	1	5.11	212	8	10
817	36	5445	1	6	180	14	1
817	34	6410	2	5.4	145	15	0
817	2	7133	1	3.4	30	15	4
817	1	7453	2	 	 	 	 
818	46	2114	1	6.2	225	8	0
818	44	3892	2	5.5	155	8	0
818	22	4663	2	5.8	165	15	0
818	19	4754	1	6	165	8	0
823	50	5446	1	 	 	 	 
823	49	6411	2	 	 	 	 
823	20	7134	1	 	 	 	 
823	18	7454	2	 	 	 	 
827	30	5447	2	5.6	130	5	0
827	6	6412	1	3.6	55	3	3
827	 	7745	1	5.1	180	5	 
828	46	2115	1	5.8	180	3	 
828	47	3893	2	5.5	125	5	 
828	12	4664	1	5	95	10	 
828	9	4755	1	4.8	70	10	 
828	6	4921	1	4	55	7	 
838	50	2116	2	5.6	145	100	200
838	50	3894	2	5.6	190	100	150
838	19	4665	1	4.9	82	100	275
838	9	4756	1	4.9	84	100	275
839	55	2117	1	6	250	2	0
839	51	3895	2	5.8	180	7	2
839	18	4666	2	5.7	120	5	2
839	16	4757	1	5.9	160	5	5
844	67	1574	1	5.11	200	5	5
844	66	3460	2	5.6	150	5	 
867	51	2118	2	5.7	200	3	4
874	67	5449	1	5.9	250	10	 
874	64	6413	2	5.6	140	10	 
882	48	5450	1	5.9	200	10	5
884	 	5451	2	5.4	250	10	10
884	61	6414	1	5.6	280	20	0
886	52	5452	1	5.9	160	8	4
886	53	6415	2	5.8	140	12	3
886	14	7135	1	5.6	130	3	2
890	63	2119	2	5.6	200	30	2
893	40	1575	1	6.2	190	40	2
893	5	2258	1	3.4	40	20	1
893	31	3461	2	5.5	120	30	1
893	8	4435	2	4.5	70	20	1
893	4	4875	1	3.4	41	20	1
902	45	2120	1	5.11	175	10	 
902	45	3896	2	5.7	 	2	 
902	23	4667	1	5.11	145	8	 
906	65	2121	1	5.1	190	21	3
906	62	3897	2	5.4	140	10	1
908	50	2122	2	5.6	140	3	4
908	48	5288	2	5.1	225	2	0
916	63	2123	2	5.4	215	10	 
925	83	5453	1	5.1	220	35	10
925	85	6416	2	4.2	160	40	3
934	30	1576	1	6	190	10	5
934	30	3462	2	5.2	110	8	2
939	58	2124	1	5.1	180	4	 
942	62	5454	1	6	185	15	 
942	33	6417	1	6.2	190	15	15
943	58	5455	1	5.9	200	25	5
943	56	6418	2	5.3	180	20	0
950	35	5456	1	6	220	20	10
951	89	2126	1	5.1	180	56	21
959	32	2125	1	5.1	170	2	2
959	32	3898	2	5.5	130	3	0
959	2	4668	2	2.11	25	9	9
966	43	2127	1	5.9	165	90	 
966	41	3899	2	5.3	110	 	 
966	12	4669	2	5.3	100	 	 
966	10	4758	1	4.1	75	 	 
970	50	1577	1	5.5	135	5	1
970	49	3463	2	5.2	155	3	 
970	21	4436	1	5.8	175	5	3
974	31	2128	1	5.11	190	4	2
974	30	3900	2	5.2	135	4	2
974	5	4670	2	4.2	41	7	4
974	3	4759	1	3.7	30	7	4
988	53	5458	1	5.11	170	10	 
988	50	6420	2	5.3	 	10	 
988	27	7136	2	5.2	 	10	 
988	23	7455	2	5.6	 	10	 
991	43	5459	1	5.8	163	3	2
991	42	6421	2	5.7	138	4	 
991	17	7137	2	5.6	120	3	 
992	59	2129	1	 	 	 	 
992	45	3901	2	 	 	 	 
992	16	4671	2	 	 	 	 
992	14	4760	1	 	 	 	 
999	43	2130	1	6.2	200	12	2
999	42	3902	2	6	180	12	 
999	14	4672	1	6.3	180	14	4
999	10	4761	2	5	100	10	 
1005	65	5460	2	5.5	150	12	1
1005	67	6422	1	5.11	185	10	5
1020	49	1578	1	5.8	160	20	 
1020	49	3464	2	5.2	150	15	 
1026	78	5379	1	5.7	175	4	3
1026	74	5387	 	5.3	135	4	3
1027	62	5461	1	6	250	40	10
1027	58	6423	2	5.4	120	60	20
1037	28	967	2	5.11	160	4	5
1047	67	968	2	5.3	250	0	0
1055	 	970	1	6	225	20	0
1055	33	2991	2	5.8	187	4	0
1055	 	4212	2	3.8	52	5	1
1055	 	4822	2	2.8	30	5	1
1055	 	5129	2	3.8	55	5	1
1062	31	5462	1	 	 	 	 
1062	30	6424	2	 	 	 	 
1062	1	7138	2	 	 	 	 
1072	31	971	1	6	205	40	20
1072	32	2992	2	5.6	124	56	 
1072	2	4213	2	3.2	33	56	 
1072	0.33	5130	1	 	 	 	 
1074	51	1579	1	5.11	220	2	0
1074	49	3465	2	5.1	105	20	1
1074	15	4437	2	5.3	125	10	1
1099	50	972	1	5.8	180	18	2
1099	 	2993	2	5.3	115	18	2
1102	61	5463	1	6.4	215	40	0
1102	54	6425	2	5.1	170	20	10
1110	66	5464	1	 	 	 	 
1110	67	6426	2	 	 	 	 
1137	64	5465	1	6.4	255	40	4
1137	 	6427	2	5.2	135	40	6
1138	35	974	1	5.11	220	3	 
1138	0.16	2995	1	 	 	 	 
1138	30	5289	2	5.7	170	5	 
1150	26	1580	1	6.4	195	5	 
1150	25	3466	2	5.6	135	5	 
1151	71	975	1	5.11	185	4	 
1151	58	2996	2	5.1	180	4	 
1158	50	1581	1	6.1	180	40	20
1158	14	2259	2	5.3	115	10	1
1158	43	3467	2	5.7	145	40	5
1158	21	4438	2	5.2	105	20	2
1178	64	1582	1	5.6	220	2	0
1178	61	3468	2	5.4	190	2	0
1179	42	976	1	5.6	119	10	12
1179	40	2997	2	5	110	10	2
1179	12	4215	2	4.4	90	10	8
1179	3	4823	1	3	43	14	 
1179	9	5131	2	4	52	6	3
1182	36	5466	1	5.8	230	50	0
1182	47	6428	2	5.6	160	20	0
1182	20	7139	2	5.5	130	5	0
1182	11	7456	1	4.6	120	50	5
1183	39	977	2	5.8	160	5	 
1183	41	2998	1	5.11	190	10	 
1183	15	4216	2	5.7	110	5	1
1183	5	4824	1	3.8	45	8	2
1183	3	4926	2	3	30	8	2
1183	7	5132	2	4.1	50	8	2
1190	47	5467	1	6	165	35	4
1190	58	6429	2	5.4	270	0	0
1190	26	7140	2	5.6	235	40	4
1190	8	7457	2	4.6	118	20	3
1194	29	978	1	5.8	160	5	7
1194	27	2999	2	5.7	175	5	6
1209	73	1583	1	5.8	180	5	 
1209	72	3469	2	5.5	150	5	5
1211	32	1584	1	6.2	220	10	0
1211	1	2260	1	2	20	0	0
1211	31	3470	2	5.5	230	20	0
1211	3	4439	2	3.5	38	40	0
1221	59	980	1	5.11	198	12	 
1221	50	3001	2	5.5	220	5	 
1227	51	1585	1	6	270	60	8
1227	 	3471	2	5.6	195	60	2
1238	53	5468	1	5.9	200	14	0
1246	37	5469	1	6.2	175	49	28
1246	38	6430	2	5.1	180	42	35
1246	16	7141	2	5.8	150	49	14
1246	14	7458	2	5.8	140	49	14
1246	12	7648	1	5.6	150	49	14
1251	64	981	1	5.7	170	 	7
1251	61	3002	2	5.5	140	15	 
1251	20	4217	1	5.1	130	10	 
1251	24	5133	1	5.8	180	8	 
1253	75	1586	2	5	130	 	 
1253	50	3472	1	5.8	160	 	 
1254	63	982	2	5.9	151	 	5
1254	42	3003	1	6	160	6	 
1256	51	5470	1	6.4	230	5	 
1256	40	6431	2	5.7	175	5	 
1256	18	7142	1	5.11	180	3	 
1257	43	983	1	6.3	235	4	3
1259	26	984	1	5.8	220	2	 
1259	25	3004	2	5.5	200	1	2
1262	83	5471	1	5.5	180	 	 
1262	83	6432	2	5.3	130	 	 
1270	36	985	2	5.2	145	2	0
1270	36	3005	1	5.9	170	1	0
1270	16	4218	2	5.4	110	4	5
1270	16	5134	2	5.3	115	1	0
1272	63	986	1	5.6	165	5	1
1273	50	5472	1	6.4	240	20	10
1273	34	6433	2	5.4	140	40	20
1273	24	7143	1	6.4	265	40	20
1273	22	7459	2	5.6	145	20	20
1281	60	987	1	5.1	175	5	3
1284	39	1587	2	5.8	187	5	 
1284	37	3473	1	5.1	 	 	 
1284	1	4440	1	 	 	 	 
1294	53	5473	1	5.8	165	8	4
1294	47	6434	2	5.7	230	0	0
1295	49	1588	1	5.11	150	40	5
1295	17	2261	2	5.11	210	20	5
1295	50	3474	2	5.6	235	40	1
1295	18	4441	1	5.11	140	40	1
1297	 	5474	1	5.1	220	12	4
1309	44	5475	1	 	 	8	 
1309	 	6435	2	 	 	4	 
1309	 	7144	1	 	 	4	 
1309	 	7460	2	 	 	4	 
1310	76	988	1	5.5	190	8	6
1310	71	3006	2	5.5	150	8	 
1316	53	989	1	6.2	350	7	7
1316	48	3007	2	5.6	195	7	3
1316	23	4219	1	6	220	7	7
1316	21	5135	2	5.6	220	0	0
1317	42	1590	1	6.4	230	20	3
1317	15	3476	1	5.1	 	8	8
1317	11	4442	1	4.11	92	12	10
1317	42	5290	2	5.7	180	14	1
1320	73	5476	1	6.3	225	3	0
1320	67	6436	2	5.7	160	3	5
1332	48	991	1	6.5	205	18	8
1332	46	3009	2	5.6	135	18	2
1332	10	4221	1	4	95	10	8
1343	46	992	1	6	320	7	1
1345	31	993	1	6.1	170	50	15
1345	30	3010	2	5.5	125	20	5
1345	0.1	4222	1	 	 	 	 
1351	67	5380	1	5.1	160	20	3
1351	66	5388	2	5.5	140	15	1
1359	84	5477	1	5.11	195	20	 
1359	75	6437	2	5.3	130	25	 
1364	62	1985	1	6	245	3	2
1364	62	3784	2	5.5	135	3	2
1366	70	5478	1	6.3	350	20	 
1366	71	6438	2	5	170	20	 
1366	43	7145	1	5.1	190	20	40
1376	31	994	1	6	285	40	 
1376	31	3011	2	5.4	170	40	 
1376	2	4223	1	3	27	40	 
1378	55	995	2	5.5	170	30	 
1378	29	3012	1	6.1	200	20	 
1384	50	5479	1	6	205	 	 
1384	50	6439	2	5.4	160	 	 
1400	63	5480	1	5.11	 	35	 
1400	60	6440	2	5.3	 	5	 
1402	56	996	1	6	225	4	6
1402	57	3013	2	5.3	135	4	 
1409	76	1592	1	6	175	30	20
1411	52	997	1	5.9	250	7	0
1418	79	5481	1	6	180	55	12
1418	 	6441	2	5.7	210	55	7
1421	57	5482	1	6	175	7	0
1421	46	6442	2	5.5	160	7	7
1421	15	7146	1	5.1	210	11	8
1421	12	7461	2	5.5	110	3	 
1421	11	7649	2	5	110	 	 
1434	59	5484	1	5.1	170	10	 
1434	58	6444	2	5.2	120	8	 
1434	19	7147	1	6	135	12	 
1437	48	998	1	5.7	145	6	3
1437	48	3014	2	5.4	180	10	3
1437	12	4224	2	5.1	96	6	7
1437	7	5137	2	4.1	50	6	7
1439	63	999	1	5.6	160	3	3
1439	53	3015	2	5.2	120	4	1
1439	22	4225	2	5	100	2	 
1442	54	1000	2	5.5	165	8	5
1442	14	3016	2	5.6	120	6	0
1445	65	1001	1	6	160	10	 
1445	63	3017	2	5.7	145	10	 
1462	63	5485	1	6	190	12	 
1462	50	6445	2	5.2	150	15	 
1469	47	5486	1	5.1	210	20	8
1469	43	6446	2	5.3	115	20	5
1469	9	7148	2	4.2	75	 	 
1469	4	7462	2	3	35	 	 
1469	26	7650	2	5.6	120	20	8
1470	35	5487	1	6.3	250	8	4
1470	43	6447	2	5.4	140	7	3
1470	3	7149	1	3.2	31	 	 
1470	2	7463	2	2.1	26	 	 
1487	35	1002	2	5.2	 	3	2
1492	49	1003	2	5.9	280	12	1
1494	61	5489	1	5.1	178	5	 
1504	38	5490	1	5.1	201	5	10
1509	76	1004	2	5.3	167	21	 
1509	81	5291	1	5.8	180	21	 
1512	49	5491	1	5.11	178	10	15
1512	47	6449	2	5.6	140	10	10
1512	25	7151	1	 	 	 	 
1512	20	7465	2	5	100	5	10
1521	72	5492	2	5.8	215	15	2
1525	52	1005	2	5.5	170	15	 
1525	18	3018	2	5.4	130	15	 
1525	16	4226	1	6	140	15	 
1546	60	1006	1	 	 	 	 
1546	61	3019	2	 	 	 	 
1554	55	1007	1	5.1	230	10	 
1554	53	3020	2	5.4	130	10	2
1555	52	1008	1	6	194	15	3
1555	 	3021	2	5.5	135	40	2
1555	 	4227	2	5.11	146	32	3
1555	 	5138	1	5.4	140	34	 
1556	50	1594	1	6.4	190	7	3
1556	29	3478	2	 	 	 	 
1556	4	4443	2	 	 	 	 
1561	48	1009	1	5.9	158	50	15
1561	49	3022	2	5.3	145	4	 
1561	21	4228	1	6	190	15	40
1561	18	5139	1	5.11	150	5	 
1566	51	1595	1	5.1	170	40	6
1566	 	2262	1	5.1	165	40	10
1566	 	3479	2	5.8	150	40	15
1566	 	4444	2	5.1	130	40	6
1573	43	1010	1	5.8	160	10	8
1573	48	3023	2	5.2	130	10	2
1581	57	1011	1	5.1	170	2	5
1590	31	5493	1	6	190	20	0
1590	31	7746	2	6	160	20	0
1598	54	1012	1	5.11	185	24	 
1598	46	3024	2	5.9	148	23	 
1598	15	4229	2	5.9	145	10	5
1598	12	4825	2	5.6	135	10	2
1598	14	5140	1	5.9	153	10	 
1599	49	1013	2	5.2	105	30	 
1599	49	3025	1	6	185	30	 
1599	25	4230	2	5	195	20	 
1599	22	4826	1	5	175	20	20
1599	19	5141	1	6.2	180	20	20
1601	66	1014	1	6.5	290	10	0
1601	69	3026	2	5.3	140	8	0
1608	67	1596	1	5.8	178	25	 
1608	66	3480	2	5.4	137	20	 
1613	54	1016	2	5.1	146	17	 
